job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,E,10,16,4,resize
2,D,77,30,2,thumbnail

8,D,25,11,5,compress
9,D,82,26,3,thumbnail
10,C,20,13,4,resize
11,A,65,28,2,watermark
12,A,65,17,3,compress
13,F,77,22,4,watermark
14,A,13,12,3,thumbnail
15,A,79,12,3,transcode
16,H,81,9,3,transcode
17,C,73,21,2,compress
18,A,97,29,5,compress
19,F,30,21,2,watermark
20,B,69,20,1,transcode
21,G,4,14,2,watermark
22,H,26,10,5,transcode
23,A,52,21,1,watermark
24,E,71,28,2,transcode
25,H,38,16,5,crop
26,C,99,5,5,transcode
27,E,51,25,2,crop
28,E,36,21,4,transcode
29,A,16,20,2,crop
30,E,74,1,4,watermark
31,E,97,21,1,transcode
32,D,30,18,3,resize
33,E,26,8,4,resize
34,G,71,22,2,watermark
35,H,31,3,1,thumbnail
36,F,82,26,2,policy_check
37,A,29,16,3,crop
38,C,41,24,5,transcode
39,F,66,18,3,crop
40,E,33,18,1,resize
41,F,56,6,3,compress
42,G,26,14,4,crop


92,C,20,12,1,transcode
93,C,4,20,5,transcode
94,D,58,30,5,transcode
95,C,63,25,4,thumbnail
96,B,53,2,4,resize
97,F,1,21,2,policy_check
98,A,48,18,4,crop
99,H,98,6,5,watermark
100,B,85,8,2,policy_check

43,G,62,16,4,compress
44,B,85,23,1,transcode
45,A,3,26,4,thumbnail
46,D,80,19,2,thumbnail
47,A,19,10,5,crop
48,G,47,18,4,crop
49,B,57,15,2,crop
50,A,18,12,5,compress
51,E,48,16,1,compress
52,B,3,27,4,policy_check
53,G,26,22,5,resize
54,A,69,14,1,thumbnail
55,C,77,26,4,resize
56,C,93,15,5,compress
57,E,79,30,5,thumbnail
58,D,0,6,1,crop
59,D,18,16,4,resize
60,G,97,22,1,policy_check
61,D,80,12,2,resize
62,F,90,7,5,thumbnail
63,E,86,9,1,policy_check
64,A,59,5,3,resize
65,E,90,14,1,crop
66,F,77,28,1,thumbnail
67,F,11,6,2,transcode
68,D,23,29,5,compress
69,D,84,24,5,resize
70,G,59,2,3,watermark
71,F,99,19,2,policy_check
72,C,45,8,2,resize
73,F,21,8,4,watermark
74,E,36,24,2,watermark
75,F,43,13,1,crop
76,E,10,11,4,transcode
77,E,21,27,3,policy_check
78,F,70,16,1,watermark
79,D,4,21,2,thumbnail
80,G,73,14,5,crop
81,H,67,1,2,thumbnail
82,A,4,11,1,transcode
83,H,98,26,1,transcode
84,H,84,14,3,resize
85,B,15,15,2,crop
86,D,31,18,3,thumbnail
87,H,19,1,3,transcode
88,E,100,26,2,watermark
89,D,22,30,4,crop
90,A,59,29,1,resize
91,F,66,18,3,crop


3,G,31,4,4,resize
4,D,35,27,1,thumbnail
5,C,19,11,2,compress
6,C,76,2,3,transcode
7,G,83,17,3,thumbnail
