job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,D,397,29,1,crop
2,H,477,3,3,thumbnail
3,D,275,5,2,watermark
4,F,461,7,3,policy_check
5,H,28,19,4,watermark
6,A,270,17,4,resize
7,A,416,14,5,compress
8,D,264,18,2,watermark
9,C,396,29,4,resize
10,B,330,16,4,resize
11,F,83,27,4,resize
12,D,78,20,3,resize
13,F,330,29,3,compress
14,C,320,6,2,transcode
15,H,332,10,2,transcode
16,G,146,10,5,crop
17,F,107,13,1,compress
18,E,463,10,3,policy_check
19,G,358,14,4,thumbnail
20,A,421,14,5,crop
21,E,126,3,3,thumbnail
22,C,119,21,5,watermark
23,H,395,6,3,transcode
24,G,457,22,3,resize
25,E,69,1,4,compress
26,G,136,12,2,transcode
27,D,269,4,1,watermark
28,B,295,13,3,resize
29,D,449,24,1,resize
30,G,199,9,3,policy_check
31,E,178,18,5,transcode
32,H,68,17,2,crop
33,D,365,14,2,watermark
34,F,38,19,4,thumbnail
35,B,1,15,4,compress
36,H,248,20,5,resize
37,H,212,30,3,compress
38,F,335,26,4,crop
39,C,320,6,5,compress
40,G,498,21,4,resize
41,D,490,16,2,resize
42,C,396,12,3,transcode
43,E,208,2,2,crop
44,F,83,30,5,policy_check
45,G,313,3,2,policy_check
46,C,244,13,1,compress
47,G,359,2,3,compress
48,D,334,24,4,policy_check
49,E,40,12,1,compress
50,H,273,1,1,policy_check
51,C,368,2,2,thumbnail
52,E,381,3,2,policy_check
53,C,298,4,4,resize
54,A,211,11,1,transcode
55,B,32,8,1,policy_check
56,F,68,28,4,policy_check
57,B,114,1,2,thumbnail
58,D,29,25,1,resize
59,D,310,7,5,transcode
60,C,35,14,2,crop
61,A,150,21,5,transcode
62,B,41,28,5,compress
63,G,477,15,2,watermark
64,A,422,13,3,thumbnail
65,A,332,23,4,compress
66,H,170,8,1,policy_check
67,E,201,7,4,thumbnail
68,C,8,12,4,watermark
69,B,244,6,1,thumbnail
70,G,35,11,3,transcode
71,H,440,3,1,thumbnail
72,A,6,5,5,thumbnail
73,A,488,27,5,resize
74,C,151,13,4,policy_check
75,H,149,1,2,compress
76,E,287,9,1,thumbnail
77,F,262,6,3,policy_check
78,H,353,22,3,resize
79,D,200,29,3,crop
80,B,333,16,3,thumbnail
81,A,5,9,5,resize
82,C,28,2,2,resize
83,D,197,27,4,compress
84,B,391,26,4,crop
85,G,441,27,2,compress
86,F,323,25,1,transcode
87,F,334,14,3,resize
88,G,468,24,4,thumbnail
89,D,323,2,3,transcode
90,A,60,3,1,transcode
91,D,21,29,3,resize
92,F,433,8,1,transcode
93,F,199,1,1,crop
94,C,6,5,1,compress
95,F,18,28,2,transcode
96,H,242,4,4,policy_check
97,G,57,7,2,crop
98,H,286,12,3,resize
99,E,138,27,2,compress
100,F,375,1,4,watermark
101,B,360,23,1,transcode
102,C,139,18,1,resize
103,C,167,9,4,transcode
104,G,493,6,5,policy_check
105,B,495,16,4,crop
106,G,129,7,2,crop
107,B,259,11,2,crop
108,B,366,5,4,policy_check
109,E,491,3,5,policy_check
110,H,15,2,3,crop
111,G,399,30,2,transcode
112,F,270,7,1,thumbnail
113,C,472,29,5,compress
114,A,257,2,5,watermark
115,H,404,1,5,resize
116,F,50,4,1,crop
117,D,341,30,1,crop
118,G,358,5,1,watermark
119,B,498,19,5,compress
120,B,4,29,2,crop
121,C,25,9,1,crop
122,E,299,5,5,policy_check
123,G,119,5,4,compress
124,F,345,19,3,thumbnail
125,B,166,12,1,thumbnail
126,E,21,30,4,policy_check
127,F,312,4,2,crop
128,D,487,1,5,thumbnail
129,H,24,24,2,crop
130,E,331,21,1,policy_check
131,H,242,27,5,watermark
132,H,437,13,3,compress
133,G,48,5,2,watermark
134,C,438,7,1,policy_check
135,D,399,27,4,resize
136,E,232,9,2,watermark
137,A,398,22,2,watermark
138,G,53,6,2,transcode
139,C,357,25,5,resize
140,D,198,17,1,crop
141,C,152,7,1,compress
142,C,55,2,1,thumbnail
143,E,231,20,2,watermark
144,C,201,10,5,transcode
145,C,275,4,4,resize
